geoid,lat,lon
P1208619,25.7000716,-80.4493591
P1200102,29.8115511,-82.5062863
P1211102,27.351278,-80.3510895
P1208622,25.5528558,-80.4353266
P1201700,28.8502933,-82.5955513
P1201115,26.2480353,-80.6053221
P1207302,30.4360368,-84.2890497
P1209101,30.7169886,-86.5977811
P1211103,27.270712,-80.413891
P1210902,29.9889769,-81.5504797
P1205709,27.7872413,-82.1810447
P1205199,26.9921451,-81.1282655
P1209703,28.2923961,-81.3874647
P1210903,29.9937889,-81.3363737
P1210505,28.2308496,-81.8882758
P1208625,25.142095,-81.1026634
P1205998,30.6463169,-85.9807099
P1201901,29.9692757,-81.870987
P1205710,27.8608903,-82.5293971
P1202799,27.356293,-81.712868
P1208609,25.8495465,-80.2873359
P1208602,25.9453605,-80.2529998
P1206902,28.7913813,-81.8317287
P1210504,27.8344348,-81.6071258
P1210101,28.3383825,-82.2687475
P1206901,28.9574841,-81.5474052
P1209504,28.478125,-81.3405393
P1205706,28.0489594,-82.1686573
P1206903,28.501599,-81.8104285
P1211703,28.6657051,-81.3124261
P1210502,28.1286055,-81.7085685
P1211701,28.7457708,-81.3931949
P1205705,28.112064,-82.3316896
P1209502,28.5752955,-81.5800465
P1209505,28.5343045,-81.3391691
P1210501,28.0385511,-81.9680167
P1209503,28.428177,-81.537555
P1205300,28.5559951,-82.5259685
P1209102,30.3972326,-86.6276756
P1205711,27.842609,-82.3497985
P1302100,33.58909,-83.9063305
P1302600,33.5822366,-85.0805272
P1302700,33.1096718,-84.9110003
P1303200,33.5520746,-82.2496077
P1303700,32.2146625,-84.4441127
P1304000,31.6619686,-84.1768288
P1300300,34.6807529,-84.5701985
P1301800,33.9521852,-83.3671522
P1301200,33.7012421,-84.7673139
P1303400,32.5152073,-81.595208
P1301900,33.8898789,-83.1088259
P1303600,32.3724279,-83.5970156
P1304600,31.8620718,-81.5322133
P1301601,33.9732747,-84.176156
P1301501,33.9075917,-84.308583
P1301000,34.0726523,-85.2039207
P1301302,34.006448,-84.4623072
P1302202,33.4060973,-84.1251963
P1301604,33.9686607,-83.9875673
P1300702,34.1648855,-84.1466748
P1301503,33.7693748,-84.2057405
P1301401,34.0845348,-84.3311535
P1301407,33.6249375,-84.5029497
P1304800,31.1828244,-81.5134068
P1301403,33.931501,-84.3688861
P1302201,33.5342347,-84.1950899
P1300400,34.7286097,-83.8158686
P1300801,34.3292114,-84.3573137
P1301603,33.9577629,-83.8986419
P1301405,33.7118291,-84.3777918
P1301305,33.8370806,-84.5368356
P1301502,33.8285757,-84.1971579
P1303000,32.8089903,-83.6940595
P1303302,33.3396905,-82.0827981
P1301606,33.8932271,-84.1496682
P1301505,33.6872969,-84.2684539
P1304701,32.0206092,-81.2149045
P1301303,33.9494618,-84.5337281
P1301605,33.9567353,-84.066121
P1303100,33.2406116,-82.4988693
P1300701,34.2669846,-84.1115294
P1300601,34.2000966,-83.9577709
P1303900,31.1985637,-84.5293389
P1301602,34.0941015,-84.0013805
P1301404,33.8303842,-84.4048826
P1301504,33.7682231,-84.3119683
P1300602,34.3080875,-83.7506877
P1301506,33.7089509,-84.1240714
P1301406,33.7418288,-84.471601
P1302301,33.5955838,-84.3805138
P1302302,33.5015898,-84.344793
P1301408,33.5992925,-84.648639
P1302000,33.5465705,-83.6351077
P1303301,33.4718026,-82.0288064
P1301607,33.833389,-84.028728
P1304702,31.9584916,-81.070257
P1300802,34.1862155,-84.4910753
P1301402,34.0497679,-84.2300791
P1301304,33.8949289,-84.6624942
P1301301,34.0303212,-84.6480238
P1300200,34.8017261,-84.968541
P1304100,31.20564,-83.8469507
P1302800,33.098226,-84.2250998
P1303500,32.397966,-82.809785
P1304200,31.3383303,-83.3979813
P1300100,34.7133306,-85.3186878
P1301700,34.0851265,-83.6079852
P1304500,31.9117588,-82.3379575
P1300500,34.4506246,-83.3039648
P1301100,33.9210299,-84.8671693
P1302500,33.3528965,-84.7621381
P1302900,32.9199444,-83.5362863
P1303800,32.4241346,-84.8279403
P1304400,31.1007122,-82.5232411
P1304300,30.833145,-83.2689952
P1300900,34.2409175,-84.8381879
P1302400,33.4127172,-84.4939407
P3703001,35.3096699,-81.1988706
P3702600,35.3459877,-81.9231044
P3703105,35.1763759,-80.8997988
P3702000,35.9333974,-81.4195956
P3701600,36.0439535,-79.4005733
P3701302,36.1037958,-78.848574
P3703700,35.3296566,-79.6489549
P3702201,35.5330566,-82.4435296
P3701206,35.9407267,-78.7060405
P3703102,35.2810099,-80.8738462
P3703600,35.7099148,-79.8062153
P3703107,35.2248537,-80.6764062
P3702800,35.6618826,-81.2149057
P3701202,35.8584752,-78.632373
P3703106,35.4085997,-80.8706889
P3701204,35.7973533,-78.438976
P3701207,35.7633063,-78.7823579
P3704501,34.6242109,-77.4151987
P3705301,34.9775835,-80.2859067
P3701205,35.6301425,-78.697773
P3700100,36.1652874,-81.8737689
P3700500,36.1803174,-78.3184394
P3700800,35.6242726,-76.366421
P3705200,34.9637314,-79.5110091
P3704800,34.0387542,-78.2277653
P3704101,35.024408,-77.4813335
P3705401,35.0329323,-80.6857426
P3701001,35.606585,-77.9341128
P3701101,35.4764919,-78.4364092
P3702400,35.1743773,-83.5211289
P3702300,35.5780469,-83.2021103
P3700200,36.3150475,-80.9849186
P3700400,36.3567008,-78.9587178
P3700700,36.3027725,-76.2827263
P3703108,35.1273552,-80.9262964
P3700300,36.3939813,-79.9759835
P3700600,36.4125163,-77.543895
P3701301,35.9313593,-78.9142057
P3703900,34.9536388,-78.172482
P3701802,36.0513654,-80.248779
P3705001,35.0796554,-78.9249982
P3705003,35.050895,-79.0207873
P3703500,35.7951312,-80.207107
P3703101,35.2041753,-80.7891865
P3701702,36.0500874,-79.8513367
P3703800,35.3686603,-78.8716648
P3703400,35.641355,-80.5217214
P3701704,35.9600213,-79.8162571
P3704000,35.3541896,-78.0086695
P3703103,35.2743691,-80.7565551
P3701500,35.6405797,-79.2271773
P3702900,35.6890862,-80.8768566
P3703200,35.421823,-80.6613794
P3704701,34.123108,-77.8716825
P3704601,34.4866165,-77.8842309
P3701208,35.6836405,-78.8817989
P3701201,35.7793205,-78.6536291
P3704900,34.5087269,-78.7792587
P3703002,35.2411562,-81.1159287
P3702700,35.4291978,-81.3669162
P3702500,35.2673679,-82.6467394
P3702202,35.7198783,-82.417852
P3702100,35.7160551,-81.8641478
P3701803,36.1959439,-80.1534033
P3703300,35.3314487,-80.3389919
P3701900,36.0160082,-80.6864339
P3701703,36.1822127,-79.6634767
P3701400,36.0625255,-79.120033
P3700900,35.9410455,-77.7985494
P3703104,35.112239,-80.8023657
