NAME,NAMELSAD,City Long,CountState,STATE_NAME
Livingston,Livingston town,"Livingston town, Tennessee","Overton County, Tennessee",Tennessee
Cross Plains,Cross Plains city,"Cross Plains city, Tennessee","Robertson County, Tennessee",Tennessee
Millersville,Millersville city,"Millersville city, Tennessee","Sumner County, Tennessee",Tennessee
White House,White House city,"White House city, Tennessee","Robertson County, Tennessee",Tennessee
Mountain City,Mountain City town,"Mountain City town, Tennessee","Johnson County, Tennessee",Tennessee
Byrdstown,Byrdstown town,"Byrdstown town, Tennessee","Pickett County, Tennessee",Tennessee
Jacksboro,Jacksboro town,"Jacksboro town, Tennessee","Campbell County, Tennessee",Tennessee
Nolensville,Nolensville town,"Nolensville town, Tennessee","Williamson County, Tennessee",Tennessee
Hohenwald,Hohenwald city,"Hohenwald city, Tennessee","Lewis County, Tennessee",Tennessee
Thompson's Station,Thompson's Station town,"Thompson's Station town, Tennessee","Williamson County, Tennessee",Tennessee
Clinton,Clinton city,"Clinton city, Tennessee","Anderson County, Tennessee",Tennessee
Oak Ridge,Oak Ridge city,"Oak Ridge city, Tennessee","Anderson County, Tennessee",Tennessee
Loretto,Loretto city,"Loretto city, Tennessee","Lawrence County, Tennessee",Tennessee
St. Joseph,St. Joseph city,"St. Joseph city, Tennessee","Lawrence County, Tennessee",Tennessee
Ethridge,Ethridge town,"Ethridge town, Tennessee","Lawrence County, Tennessee",Tennessee
Bristol,Bristol city,"Bristol city, Tennessee","Sullivan County, Tennessee",Tennessee
Huntingdon,Huntingdon town,"Huntingdon town, Tennessee","Carroll County, Tennessee",Tennessee
McLemoresville,McLemoresville town,"McLemoresville town, Tennessee","Carroll County, Tennessee",Tennessee
Trezevant,Trezevant town,"Trezevant town, Tennessee","Carroll County, Tennessee",Tennessee
Bruceton,Bruceton town,"Bruceton town, Tennessee","Carroll County, Tennessee",Tennessee
Sunbright,Sunbright city,"Sunbright city, Tennessee","Morgan County, Tennessee",Tennessee
Oakdale,Oakdale town,"Oakdale town, Tennessee","Morgan County, Tennessee",Tennessee
Wartburg,Wartburg city,"Wartburg city, Tennessee","Morgan County, Tennessee",Tennessee
Huntsville,Huntsville town,"Huntsville town, Tennessee","Scott County, Tennessee",Tennessee
Humboldt,Humboldt city,"Humboldt city, Tennessee","Gibson County, Tennessee",Tennessee
Medon,Medon city,"Medon city, Tennessee","Madison County, Tennessee",Tennessee
Luttrell,Luttrell town,"Luttrell town, Tennessee","Union County, Tennessee",Tennessee
Maynardville,Maynardville city,"Maynardville city, Tennessee","Union County, Tennessee",Tennessee
Red Boiling Springs,Red Boiling Springs city,"Red Boiling Springs city, Tennessee","Macon County, Tennessee",Tennessee
Adams,Adams city,"Adams city, Tennessee","Robertson County, Tennessee",Tennessee
Three Way,Three Way city,"Three Way city, Tennessee","Madison County, Tennessee",Tennessee
Philadelphia,Philadelphia city,"Philadelphia city, Tennessee","Loudon County, Tennessee",Tennessee
Greenback,Greenback city,"Greenback city, Tennessee","Loudon County, Tennessee",Tennessee
Paris,Paris city,"Paris city, Tennessee","Henry County, Tennessee",Tennessee
Cottage Grove,Cottage Grove town,"Cottage Grove town, Tennessee","Henry County, Tennessee",Tennessee
Unicoi,Unicoi town,"Unicoi town, Tennessee","Unicoi County, Tennessee",Tennessee
Brentwood,Brentwood city,"Brentwood city, Tennessee","Williamson County, Tennessee",Tennessee
Fairview,Fairview city,"Fairview city, Tennessee","Williamson County, Tennessee",Tennessee
Hickory Valley,Hickory Valley town,"Hickory Valley town, Tennessee","Hardeman County, Tennessee",Tennessee
Johnson City,Johnson City city,"Johnson City city, Tennessee","Washington County, Tennessee",Tennessee
Bluff City,Bluff City city,"Bluff City city, Tennessee","Sullivan County, Tennessee",Tennessee
Crab Orchard,Crab Orchard city,"Crab Orchard city, Tennessee","Cumberland County, Tennessee",Tennessee
Pleasant Hill,Pleasant Hill town,"Pleasant Hill town, Tennessee","Cumberland County, Tennessee",Tennessee
Hornsby,Hornsby town,"Hornsby town, Tennessee","Hardeman County, Tennessee",Tennessee
Middleton,Middleton city,"Middleton city, Tennessee","Hardeman County, Tennessee",Tennessee
Whiteville,Whiteville town,"Whiteville town, Tennessee","Hardeman County, Tennessee",Tennessee
McEwen,McEwen city,"McEwen city, Tennessee","Humphreys County, Tennessee",Tennessee
Belle Meade,Belle Meade city,"Belle Meade city, Tennessee","Davidson County, Tennessee",Tennessee
Forest Hills,Forest Hills city,"Forest Hills city, Tennessee","Davidson County, Tennessee",Tennessee
Oak Hill,Oak Hill city,"Oak Hill city, Tennessee","Davidson County, Tennessee",Tennessee
Harrogate,Harrogate city,"Harrogate city, Tennessee","Claiborne County, Tennessee",Tennessee
New Tazewell,New Tazewell town,"New Tazewell town, Tennessee","Claiborne County, Tennessee",Tennessee
Tazewell,Tazewell town,"Tazewell town, Tennessee","Claiborne County, Tennessee",Tennessee
Norris,Norris city,"Norris city, Tennessee","Anderson County, Tennessee",Tennessee
Lafayette,Lafayette city,"Lafayette city, Tennessee","Macon County, Tennessee",Tennessee
Puryear,Puryear city,"Puryear city, Tennessee","Henry County, Tennessee",Tennessee
Morristown,Morristown city,"Morristown city, Tennessee","Hamblen County, Tennessee",Tennessee
Clifton,Clifton city,"Clifton city, Tennessee","Wayne County, Tennessee",Tennessee
